accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0448,0.1732,0.13466799363840956,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0724,0.232,0.17606080467351912,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.2644,0.19500780589806815,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.094,0.2768,0.20436951938634626,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.166,0.1317922681829741,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.2424,0.1777657218677876,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2692,0.1875980339212125,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.092,0.2824,0.2035527198653325,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.038,0.1636,0.12749433038414473,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0688,0.2376,0.17218467878975746,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.274,0.19984923627651993,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0992,0.2836,0.20680286081062232,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.184,0.13999217060594937,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0768,0.238,0.17779106536985392,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0992,0.2732,0.20559227614972905,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.092,0.2896,0.20527923844591786,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1984,0.14411794106356401,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0836,0.25,0.18645481588279836,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0904,0.2696,0.19934626573148928,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0968,0.2744,0.2053036957552429,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1744,0.13324526015681934,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0836,0.2452,0.18590118008925405,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.092,0.2712,0.19979753785381155,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1024,0.2864,0.21281681780507378,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.1884,0.14635192198961797,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0808,0.2696,0.19013031886546541,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.2752,0.19746425852053984,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.288,0.20525359331019455,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.2004,0.14623691876690695,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.064,0.23,0.163370320828688,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.264,0.19162851077845938,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.266,0.19152244997583487,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.048,0.1644,0.1338403961140308,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2272,0.17730940564089537,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.2684,0.19991216783165858,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0964,0.2732,0.20344135007973996,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.1516,0.11883408172095868,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0704,0.2368,0.1735044878699079,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0792,0.2548,0.18802928553341458,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.098,0.2772,0.20451202994297607,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.174,0.1325306579905038,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0636,0.2208,0.16770114698098287,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.256,0.1878059142250162,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0924,0.2552,0.19748155321126973,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1588,0.12650845260477175,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.234,0.17220461365465273,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0732,0.2588,0.18185431937521138,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0844,0.2624,0.1926493081930086,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1588,0.12463796774412647,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0684,0.226,0.1678191032415644,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0876,0.258,0.191511338604826,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0896,0.2664,0.19579909602999795,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1756,0.1360797227874481,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.074,0.224,0.17337747140952883,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.2648,0.1985260200084853,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2692,0.1974451345961108,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1888,0.13697998782790477,1,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
