variance,layer,architecture,task,kind,source,n
0.015601331,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015623523,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0156586,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016828343,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01567753,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01571087,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015731888,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015755307,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015783088,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015801605,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015857732,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015870461,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015880201,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015904162,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015921213,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015931886,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01595591,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0159745,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015686247,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014023764,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.02069193,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020721085,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03267848,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.032804836,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.032959994,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03317087,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03327523,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.033582266,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03362278,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.033689335,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.034056906,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.034228783,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03463941,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.034769867,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03505632,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.035229404,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.035660766,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.035800964,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03616827,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.036217026,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.036520023,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.036610983,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03732738,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0373924,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.037579305,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03791257,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.038282655,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03836285,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.038868345,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.032544684,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03910735,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03231424,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.031780507,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.028330322,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.028398454,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.028521307,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.028657852,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.028734963,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.028872577,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.02892738,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.029008782,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.02916112,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.029180054,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.029288013,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.029420638,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.02959573,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.029680345,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.02992046,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.030049939,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.030278442,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.030376494,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03058761,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.030696252,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.030986467,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.031044608,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.031084526,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.031340785,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03135984,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.031561565,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.03171254,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.032003712,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.039379697,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.039798047,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.04037514,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.077639975,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.078221954,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.079379804,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.080314584,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0858624,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.08695771,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.08942244,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.09278725,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.09600763,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.09794346,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.10131021,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.10592516,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.110459276,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.116285175,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.1228402,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.13875617,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.14853461,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.15834692,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.19454442,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.21713522,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.2296977,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.27317724,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.44989896,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.7816557,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.88917077,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
1.2732664,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
2.281691,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.07325355,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.07165962,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.06884472,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.06711143,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.040996037,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.041164193,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.042052824,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.042359564,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.043084107,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.043503903,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0440994,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.044880603,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.045152523,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.045617048,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
